Model,Temperature,scenario,dev_from_avg_profile_L2,rank_within_model_temp,FR_scenario,CR_scenario,DS_scenario,FR_scenario_scaled,CR_scenario_scaled,DS_scenario_scaled,FR_scenario_baseline_scaled,CR_scenario_baseline_scaled,DS_scenario_baseline_scaled
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,4_model_x_launch,0.18736775763976485,3,0.9022967344682206,0.2895218637095918,0.7726810304964085,0.8936049525604847,0.6276431887272109,0.5893999064506417,0.823320540345774,0.45624064186406466,0.6174702632601521
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,3_model_s_launch,0.16554840026055068,4,0.9695615909989347,0.0038668366039316428,0.9669579444851045,0.9668537591653132,0.008382764691005094,0.9403170308042162,0.8217983117525843,0.06926681757255009,0.8887581119885761
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,2_roadster_launch,0.14401924694868792,5,0.9494829258336636,0.10339424907158604,0.8128187378805174,0.9449888755183453,0.224144371522971,0.6618995594675527,0.8453940643730646,0.12224347716230854,0.6409561878884554
meta-llama/Meta-Llama-3.1-8B-Instruct,0.7,6_energy_infra,0.11734268646393498,6,0.9692836814649112,0.08249897942834715,0.7941361379344823,0.9665511265163901,0.17884632908790205,0.6281536855296317,0.9452172643606295,0.26298368389676,0.707116195101331
mistralai/Mistral-7B-Instruct-v0.3,0.0,2_roadster_launch,0.6709647716765573,1,0.15649295959941745,0.08118678548111563,0.9881402765822284,0.08145371507778079,0.17600167486139068,0.9785781031777337,0.7479916780152689,0.2526388342093078,0.971677769765472
mistralai/Mistral-7B-Instruct-v0.3,0.0,3_model_s_launch,0.2433945462660633,2,1.0,0.0,0.9999999999117198,1.0,0.0,1.0,0.7738565034184205,0.08998182967790622,0.9981849424978122
mistralai/Mistral-7B-Instruct-v0.3,0.0,5_model_3_mass_market,0.2008507590824269,3,0.736958128839404,0.13830528873755615,0.9966588078888424,0.7135576563548176,0.29982665671201075,0.9939648954036326,0.7080307757808698,0.09906646656333115,0.9915509636369055
mistralai/Mistral-7B-Instruct-v0.3,0.0,4_model_x_launch,0.18702181922592534,4,0.83368427790752,0.1557379209355493,0.993446722060993,0.8188886620559163,0.33761818209274,0.9881629918282476,0.7916795202219633,0.5226500886732031,0.9882934312139142
mistralai/Mistral-7B-Instruct-v0.3,0.0,6_energy_infra,0.11689460648015504,5,0.9380195681065776,0.20226061252802832,0.9999999999117195,0.9325057258247178,0.43847291591196264,0.9999999999999994,0.8851472811376662,0.3383378291437863,0.9626571139451754
mistralai/Mistral-7B-Instruct-v0.3,0.0,1_founder_period,0.062232228236906904,6,0.870513306085262,0.17445506315042109,0.9999999999117195,0.8589940380512312,0.37819434678400654,0.9999999999999994,0.8185352094786118,0.3320789833575648,0.989545016599292
mistralai/Mistral-7B-Instruct-v0.3,0.7,2_roadster_launch,0.45591609000622557,1,0.4771479731600641,0.0576033090742926,0.9060145354994308,0.4306345248881412,0.12487597352886998,0.8302366028702994,0.8453940643730646,0.12224347716230854,0.6409561878884554
mistralai/Mistral-7B-Instruct-v0.3,0.7,6_energy_infra,0.2045047207833403,2,0.9572297886960861,0.1748459067038006,0.9309621111687162,0.9534249071828834,0.3790416413233324,0.8752987326608118,0.9452172643606295,0.26298368389676,0.707116195101331
mistralai/Mistral-7B-Instruct-v0.3,0.7,3_model_s_launch,0.19977248979934525,3,0.9827942787144964,0.002625321083939342,0.9949756829752555,0.9812636402433571,0.005691331478196325,0.9909247124890629,0.8217983117525843,0.06926681757255009,0.8887581119885761
mistralai/Mistral-7B-Instruct-v0.3,0.7,1_founder_period,0.15477183741368003,4,0.8572198897087945,0.15991019692698244,0.9469008682363137,0.8445180258288204,0.3466630969532626,0.90408847757233,0.8526357814419934,0.25534894040671147,0.7793882429518476
mistralai/Mistral-7B-Instruct-v0.3,0.7,4_model_x_launch,0.1536515135258858,5,0.8374354823211084,0.1855192661641007,0.8678477348632273,0.8229735774307176,0.40218000220655076,0.7612969452956891,0.823320540345774,0.45624064186406466,0.6174702632601521
mistralai/Mistral-7B-Instruct-v0.3,0.7,5_model_3_mass_market,0.10722632357955376,6,0.8225294488321413,0.02445070967262324,0.9162852632872857,0.8067414880367575,0.053005742602437136,0.8487883401114112,0.7157419661575702,0.06183251073440614,0.7927645982648428
